Hybrid_Genus,Abbreviation,Parent1,Parent2,Parent3,Parent4,Parent5,Parent6,Parent7,Parent8,Parent9,Parent10
Kionophyton,Kin.,Kionophyton,,,,,,,,,
Klugara,Klg.,Cuitlauzina,Gomesa,Miltonia,Oncidium,,,,,,
Knowlesara,Knw.,Gomesa,Nohawilliamsia,Oncidium,Zelenkoa,,,,,,
Knudsenara,Knd.,Brassavola,Cattleya,Myrmecophila,Pseudolaelia,Rhyncholaelia,,,,,
Kodamaara,Kdm.,Cattleya,Guarianthe,Rhyncholaelia,Schomburgkia,,,,,,
Komarovara,Kmv.,Gomesa,Leochilus,Rodriguezia,Tolumnia,,,,,,
Kraenzlinella,Kz.,Kraenzlinella,,,,,,,,,
Kriegerara,Kgra.,Ada,Cochlioda,Odontoglossum,Oncidium,,,,,,
Kuhnara,Kn.,Cyrtochilum,Leochilus,Oncidium,,,,,,,
Kunoara,Kno.,Ada,Cochlioda,Odontoglossum,Oncidium,Rhynchostele,,,,,
Kunthara,Knt.,Cochlioda,Miltoniopsis,Odontoglossum,Oncidium,,,,,,
Laechilis,Lah.,Laelia,Psychilis,,,,,,,,
Laegoa,Lga.,Domingoa,Laelia,,,,,,,,
Laelia,L.,Laelia,,,,,,,,,
Laelianthe,Lnt.,Guarianthe,Laelia,,,,,,,,
Laelidendranthe,Ldt.,Epidendrum,Guarianthe,Laelia,,,,,,,
Laeliocatanthe,Lcn.,Cattleya,Guarianthe,Laelia,,,,,,,
Laeliocatarthron,Lcr.,Cattleya,Caularthron,Laelia,,,,,,,
Laeliocatonia,Lctna.,Broughtonia,Cattleya,Laelia,,,,,,,
Laeliocattkeria,Lcka.,Barkeria,Cattleya,Laelia,,,,,,,
Laeliocattleya,Lc.,Cattleya,Laelia,,,,,,,,
Laeliokeria,Lkra.,Barkeria,Laelia,,,,,,,,
Laelirhynchos,Lrn.,Laelia,Rhyncholaelia,,,,,,,,
Laelonia,Lna.,Broughtonia,Laelia,,,,,,,,
Laerianchea,Lca.,Guarianthe,Laelia,Prosthechea,,,,,,,
Lagerara,Lgra.,Aspasia,Cochlioda,Odontoglossum,,,,,,,
Lairesseara,Lair.,Leochilus,Oncidium,Rhynchostele,Rodriguezia,,,,,,
Lambara,Lmb.,Barkeria,Broughtonia,Epidendrum,,,,,,,
Lambeauara,Lam.,Brassavola,Broughtonia,Encyclia,Guarianthe,,,,,,
Lancebirkara,Lbka.,Bollea,Cochleanthes,Pescatoria,,,,,,,
Lauara,Lauara,Ascoglossum,Renanthera,Rhynchostylis,,,,,,,
Lawara,Lwr.,Aerides,Arachnis,Christensonia,,,,,,,
Lawlessara,Law.,Miltonia,Miltoniopsis,Odontoglossum,Oncidium,,,,,,
Laycockara,Lay.,Arachnis,Phalaenopsis,Vandopsis,,,,,,,
Lebaudyara,Leb.,Cattleya,Caularthron,Encyclia,Laelia,,,,,,
Ledienara,Led.,Cattleya,Caularthron,Guarianthe,Laelia,,,,,,
Leeara,Leeara,Arachnis,Vanda,Vandopsis,,,,,,,
Leochilumnia,Llm.,Leochilus,Tolumnia,,,,,,,,
Leochilus,Lchs.,Leochilus,,,,,,,,,
Leocidium,Lcdm.,Leochilus,Oncidium,,,,,,,,
Leocidmesa,Lcmsa.,Gomesa,Leochilus,Oncidium,,,,,,,
Leocidpasia,Lcdpa.,Aspasia,Leochilus,Oncidium,,,,,,,
Leocidumnia,Lod.,Leochilus,Oncidium,Tolumnia,,,,,,,
Leogolumnia,Lgn.,Gomesa,Leochilus,Tolumnia,,,,,,,
Leokoa,Lko.,Leochilus,Zelenkoa,,,,,,,,
Leomesezia,Lsz.,Gomesa,Leochilus,Rodriguezia,,,,,,,
Lepanopsis,Lep.,Lepanthes,Lepanthopsis,,,,,,,,
Lepanthes,Lths.,Lepanthes,,,,,,,,,
Lepanthopsis,Lpths.,Lepanthopsis,,,,,,,,,
Leptodendrum,Lptdm.,Epidendrum,Leptotes,,,,,,,,
Leptoguarianthe,Lgt.,Guarianthe,Leptotes,,,,,,,,
Leptokeria,Lptka.,Barkeria,Leptotes,,,,,,,,
Leptolaelia,Lptl.,Laelia,Leptotes,,,,,,,,
Leptotes,Lpt.,Leptotes,,,,,,,,,
Leptovola,Lptv.,Brassavola,Leptotes,,,,,,,,
Lesliehertensteinara,Lhr.,Cischweinfia,Gomesa,Leochilus,Rodriguezia,,,,,,
Lesueurara,Lsu.,Brassavola,Cattleya,Encyclia,Guarianthe,,,,,,
Letochilum,Lth.,Cyrtochilum,Leochilus,,,,,,,,
Levyara,Lev.,Aspasia,Brassia,Cochlioda,Odontoglossum,Oncidium,,,,,
Liebmanara,Lieb.,Aspasia,Cochlioda,Oncidium,,,,,,,
Limara,Lim.,Arachnis,Renanthera,Vandopsis,,,,,,,
Lindleyella,Lya.,Lindleyella,,,,,,,,,
Lobbara,Lob.,Aspasia,Brassia,Gomesa,Miltonia,Oncidium,,,,,
Lockcidium,Lkcdm.,Lockhartia,Oncidium,,,,,,,,
Lockcidmesa,Lkda.,Gomesa,Lockhartia,Oncidium,,,,,,,
Lockhartia,Lhta.,Lockhartia,,,,,,,,,
Lockia,Lck.,Lockia,,,,,,,,,
Lockochilettia,Lkctta.,Comparettia,Leochilus,Lockhartia,,,,,,,
Lockochilus,Lkchs.,Leochilus,Lockhartia,,,,,,,,
Lockoglossum,Lkg.,Lockhartia,Odontoglossum,,,,,,,,
Lockogochilus,Lkgch.,Gomesa,Leochilus,Lockhartia,,,,,,,
Lockopilia,Lckp.,Lockhartia,Trichopilia,,,,,,,,
Lockostalix,Lkstx.,Lockhartia,Sigmatostalix,,,,,,,,
Lockumnia,Lkm.,Lockhartia,Tolumnia,,,,,,,,
Loefgrenianthus,Lts.,Loefgrenianthus,,,,,,,,,
Longhueiara,Lgh.,Clowesia,Cycnoches,Galeandra,Mormodes,,,,,,
Lophiaris,Lop.,Lophiaris,,,,,,,,,
Lorenara,Lora.,Galeottia,Pabstia,Zygopetalum,,,,,,,
Louiscappeara,Lou.,Brassavola,Cattleya,Encyclia,Guarianthe,Rhyncholaelia,,,,,
Lovelessara,Lov.,Cattleya,Guarianthe,Prosthechea,Rhyncholaelia,,,,,,
Ludisia,Lus.,Ludisia,,,,,,,,,
Ludlowara,Ldw.,Cyrtochilum,Gomesa,Oncidium,Zelenkoa,,,,,,
Ludochilus,Lud.,Anoectochilus,Ludisia,,,,,,,,
Luianopsanthe,Lnpt.,Luisia,Papilionanthe,Phalaenopsis,,,,,,,
Luichilus,Luic.,Luisia,Sarcochilus,,,,,,,,
Luilionanda,Lnd.,Luisia,Papilionanthe,Vanda,,,,,,,
Luinetia,Lnta.,Luisia,Neofinetia,,,,,,,,
Luinopsanda,Lpd.,Luisia,Phalaenopsis,Vanda,,,,,,,
Luinopsis,Lnps.,Luisia,Phalaenopsis,,,,,,,,
Luiphalandopsis,Lid.,Luisia,Phalaenopsis,Vandopsis,,,,,,,
Luisaerides,Lu.,Aerides,Luisia,,,,,,,,
Luisanda,Lsnd.,Luisia,Vanda,,,,,,,,
Luisanthera,Lut.,Luisia,Renanthera,,,,,,,,
Luisia,Lsa.,Luisia,,,,,,,,,
Luisiopsis,Lups.,Luisiopsis,,,,,,,,,
Luistylis,Lst.,Luisia,Rhynchostylis,,,,,,,,
Luivanetia,Lvta.,Luisia,Neofinetia,Vanda,,,,,,,
Lutherara,Luth.,Phalaenopsis,Renanthera,Rhynchostylis,,,,,,,
Lycabstia,Lbs.,Lycaste,Pabstia,,,,,,,,
Lycafrenuloa,Lfl.,Anguloa,Bifrenaria,Lycaste,,,,,,,
Lycamerlycaste,Lmc.,Lycaste,Sudamerlycaste,,,,,,,,
Lycanisia,Lns.,Aganisia,Lycaste,,,,,,,,
Lycaste,Lyc.,Lycaste,,,,,,,,,
Lycastenaria,Ly.,Bifrenaria,Lycaste,,,,,,,,
Lycastiella,Lct.,Lycaste,Maxillariella,,,,,,,,
Lycazella,Lzl.,Lycaste,Warczewiczella,,,,,,,,
Lymanara,Lymra.,Aerides,Arachnis,Renanthera,,,,,,,
Lyridium,Lrd.,Camaridium,Lycaste,,,,,,,,
Lysudamuloa,Lys.,Anguloa,Lycaste,Sudamerlycaste,,,,,,,
Macbrideara,Mcb.,Brassia,Miltonia,Miltoniopsis,Rossioglossum,,,,,,
Maccorquodaleara,Mcq.,Aganisia,Batemannia,Cochleanthes,Otostylis,Pabstia,Promenaea,Zygopetalum ×,,,
Maccoyara,Mcyra.,Aerides,Vanda,Vandopsis,,,,,,,
Maccraithara,Mcc.,Baptistonia,Cochlioda,Odontoglossum,,,,,,,
Maccullyara,Mly.,Brassia,Cochlioda,Oncidium,,,,,,,
Macekara,Maka.,Arachnis,Phalaenopsis,Renanthera,Vanda,Vandopsis,,,,,
Maclellanara,Mclna.,Brassia,Odontoglossum,Oncidium,,,,,,,
Macodes,Mac.,Macodes,,,,,,,,,
Macodisia,Mcd.,Ludisia,Macodes,,,,,,,,
Macodyera,Mdy.,Goodyera,Macodes,,,,,,,,
Macradenia,Mcdn.,Macradenia,,,,,,,,,
Macradesa,Mcdsa.,Gomesa,Macradenia,,,,,,,,
Macropodanthus,Mpt.,Macropodanthus,,,,,,,,,
Maderoara,Mdo.,Brassia,Gomesa,Oncidium,Rhynchostele,,,,,,
Maechtleara,Mta.,Batemannia,Galeottia,Zygopetalum,,,,,,,
Malcolmcampbellara,Mcba.,Drymoanthus,Plectorrhiza,Sarcochilus,,,,,,,
Mapinguari,Mpn.,Mapinguari,,,,,,,,,
Mapingucaste,Map.,Lycaste,Mapinguari,,,,,,,,
Marcchristopherstormara,Mph.,Brassavola,Broughtonia,Cattleya,Myrmecophila,,,,,,
Marimerara,Mrm.,Cattleya,Guarianthe,Psychilis,,,,,,,
Marshara,Msh.,Cattleya,Encyclia,Prosthechea,Rhyncholaelia,,,,,,
Martiusara,Mtr.,Brassia,Cochlioda,Miltonia,Miltoniopsis,Odontoglossum,Oncidium,,,,
Marvingerberara,Mrv.,Brassavola,Caularthron,Laelia,,,,,,,
Marycrawleystormara,Mry.,Cattleya,Caularthron,Guarianthe,Laelia,Psychilis,Rhyncholaelia,,,,
Masdevallia,Masd.,Masdevallia,,,,,,,,,
Masrepia,Mrp.,Masdevallia,Restrepia,,,,,,,,
Massangeara,Msg.,Miltonia,Odontoglossum,Oncidium,Rhynchostele,,,,,,
Mathewsara,Mtw.,Miltonia,Miltoniopsis,Oncidium,Rossioglossum,,,,,,
Maumeneara,Mau.,Brassavola,Cattleya,Encyclia,Guarianthe,Laelia,Rhyncholaelia,,,,
Maunderara,Mnda.,Ada,Cochlioda,Miltonia,Odontoglossum,Oncidium,,,,,
Mauriceara,Mrc.,Aganisia,Batemannia,Otostylis,Pabstia,Promenaea,Zygopetalum,Zygosepalum,,,
Maxidium,Mxd.,Cymbidium,Maxillaria,,,,,,,,
Maxillacaste,Mxcst.,Lycaste,Maxillaria,,,,,,,,
Maxillaria,Max.,Maxillaria,,,,,,,,,
Maxillariella,Mxl.,Maxillariella,,,,,,,,,
Maxillyca,Mxy.,Maxillaria,Mormolyca,,,,,,,,
Maxilobium,Mxlb.,Maxillaria,Xylobium,,,,,,,,
Maxthompsonara,Mxp.,Batemannia,Galeottia,Pabstia,,,,,,,
Mayara,May.,Papilionanthe,Renanthera,Vanda,,,,,,,
Mediocalcar,Med.,Mediocalcar,,,,,,,,,
Meiracyllium,Mrclm.,Meiracyllium,,,,,,,,,
Meloara,Mel.,Cattleya,Caularthron,Laelia,Rhyncholaelia,,,,,,
Mesadenella,Mdla.,Mesadenella,,,,,,,,,
Meshaara,Meh.,Gomesa,Leochilus,Macradenia,Oncidium,Rodriguezia,,,,,
Microcattleya,Mit.,Cattleya,Microlaelia,,,,,,,,
Microchilus,Mcr.,Microchilus,,,,,,,,,
Microepidendrum,Mpd.,Microepidendrum,,,,,,,,,
Micropera,Micr.,Micropera,,,,,,,,,
Microstylis,Mst.,Microstylis,,,,,,,,,
Microthelys,Mty.,Microthelys,,,,,,,,,
Milassentrum,Msr.,Brassia,Miltonia,Trichocentrum,,,,,,,
Milcentrum,Mlc.,Miltonia,Trichocentrum,,,,,,,,
Milcidossum,Mis.,Miltonia,Oncidium,Rossioglossum,,,,,,,
Milenkocidium,Mkd.,Miltonia,Oncidium,Zelenkoa,,,,,,,
Millerara,Mla.,Brassavola,Caularthron,Guarianthe,Laelia,,,,,,
Milmilcidium,Mmc.,Miltonia,Miltoniopsis,Oncidium,,,,,,,
Milmiloda,Mmo.,Cochlioda,Miltonia,Miltoniopsis,,,,,,,
Milmiloglossum,Mmg.,Miltonia,Miltoniopsis,Odontoglossum,,,,,,,
Milmilpasia,Mmp.,Aspasia,Miltonia,Miltoniopsis,,,,,,,
Milmilrassia,Mmr.,Brassia,Miltonia,Miltoniopsis,,,,,,,
Milmiltonia,Mmt.,Miltonia,Miltoniopsis,,,,,,,,
Miloara,Mlr.,Miltonia,Pabstia,Promenaea,Zygopetalum,,,,,,
Milonzina,Moz.,Cuitlauzina,Miltonia,Oncidium,,,,,,,
Milpilia,Mpla.,Miltonia,Trichopilia,,,,,,,,
Miltada,Mtad.,Ada,Miltonia,,,,,,,,
Miltadium,Mtadm.,Ada,Miltonia,Oncidium,,,,,,,
Miltarettia,Mtta.,Comparettia,Miltonia,,,,,,,,
Miltistonia,Mtst.,Baptistonia,Miltonia,,,,,,,,
Miltochilidium,Mld.,Cyrtochilum,Miltonia,Oncidium,,,,,,,
Miltochilum,Mtc.,Cyrtochilum,Miltonia,,,,,,,,
Miltodontrum,Mtd.,Miltonia,Odontoglossum,Trichocentrum,,,,,,,
Miltogomechilum,Mgc.,Cyrtochilum,Gomesa,Miltonia,,,,,,,
Miltoncentrum,Mnt.,Miltonia,Oncidium,Trichocentrum,,,,,,,
Miltoncidostele,Mos.,Miltonia,Oncidium,Rhynchostele,,,,,,,
Miltonia,Milt.,Miltonia,,,,,,,,,
Miltonidium,Mtdm.,Miltonia,Oncidium,,,,,,,,
Miltonioda,Mtda.,Cochlioda,Miltonia,,,,,,,,
Miltoniopsis,Mps.,Miltoniopsis,,,,,,,,,
Miltonpasia,Mp.,Aspasia,Miltonia,,,,,,,,
Miltostelada,Msl.,Ada,Miltonia,Rhynchostele,,,,,,,
Mirandorchis,Mrd.,Mirandorchis,,,,,,,,,
Moensara,Moe.,Cattleya,Encyclia,Guarianthe,Prosthechea,,,,,,
Moihwaara,Mhw.,Arachnis,Christensonia,Vanda,,,,,,,
Moirara,Moir.,Phalaenopsis,Renanthera,Vanda,,,,,,,
Monkara,Mnkr.,Brassavola,Broughtonia,Myrmecophila,,,,,,,
Monnierara,Monn.,Catasetum,Cycnoches,Mormodes,,,,,,,
Mormariella,Mrml.,Maxillariella,Mormolyca,,,,,,,,
Mormodes,Morm.,Mormodes,,,,,,,,,
Mormodia,Mo.,Clowesia,Mormodes,,,,,,,,
Mormolyca,Mlca.,Mormolyca,,,,,,,,,
Mormosellia,Mml.,Ansellia,Mormodes,,,,,,,,
Morrisonara,Mrsa.,Ada,Miltonia,Odontoglossum,,,,,,,
Mountfordara,Mtf.,Leochilus,Oncidium,Rodriguezia,Tolumnia,Zelenkoa,,,,,
Mylamara,Mym.,Cattleya,Encyclia,Laelia,Prosthechea,,,,,,
Myoxanthus,My.,Myoxanthus,,,,,,,,,
Myoxastrepia,Mxt.,Myoxanthus,Restrepia,,,,,,,,
Myrmecanthe,Mcn.,Guarianthe,Myrmecophila,,,,,,,,
Myrmecatavola,Mcv.,Brassavola,Cattleya,Myrmecophila,,,,,,,
Myrmecatlaelia,Mycl.,Cattleya,Laelia,Myrmecophila,,,,,,,
Myrmecavola,Myv.,Brassavola,Myrmecophila,,,,,,,,
Myrmechea,Myh.,Myrmecophila,Prosthechea,,,,,,,,
Myrmecocattleya,Myc.,Cattleya,Myrmecophila,,,,,,,,
Myrmecochile,Mco.,Euchile,Myrmecophila,,,,,,,,
Myrmecolaelia,Myl.,Laelia,Myrmecophila,,,,,,,,
Myrmecophila,Mcp.,Myrmecophila,,,,,,,,,
Myrmetonia,Myt.,Broughtonia,Myrmecophila,,,,,,,,
Mystacidium,Mycdm.,Mystacidium,,,,,,,,,
Mystorchis,Mro.,Cyrtorchis,Mystacidium,,,,,,,,
Nakamuraara,Nkm.,Aganisia,Galeottia,Zygopetalum,,,,,,,
Nebrownara,Neb.,Brassavola,Broughtonia,Cattleya,Encyclia,,,,,,
Neoaeristylis,Nrst.,Aerides,Neofinetia,Rhynchostylis,,,,,,,
Neobathiea,Nbth.,Neobathiea,,,,,,,,,
Neobatopus,Nbps.,Cryptopus,Neobathiea,,,,,,,,
Neobolusia,Nbsa.,Neobolusia,,,,,,,,,
Neofadanda,Ndn.,Neofinetia,Seidenfadenia,Vanda,,,,,,,
Neofadenia,Nfd.,Neofinetia,Seidenfadenia,,,,,,,,
Neogardneria,Ngda.,Neogardneria,,,,,,,,,
Neoglossum,Neogm.,Ascoglossum,Neofinetia,,,,,,,,
Neograecum,Ngrcm.,Angraecum,Neofinetia,,,,,,,,
Neopabstopetalum,Npp.,Neogardneria,Pabstia,Zygopetalum,,,,,,,
Neostylis,Neost.,Neofinetia,Rhynchostylis,,,,,,,,
Neostylopsis,Nsls.,Neofinetia,Phalaenopsis,Rhynchostylis,,,,,,,
Neotainiopsis,Ntn.,Neotainiopsis,,,,,,,,,
Neotinacamptis,Ntc.,Anacamptis,Neotinea,,,,,,,,
Neotinarhiza,Ntz.,Dactylorhiza,Neotinea,,,,,,,,
Neotinea,Nt.,Neotinea,,,,,,,,,
Neottia,Neot.,Neottia,,,,,,,,,
Neozygisia,Nzg.,Aganisia,Neogardneria,Zygopetalum,,,,,,,
Ngara,Ngara,Arachnis,Ascoglossum,Renanthera,,,,,,,
Nicholasara,Nls.,Brassavola,Cattleya,Euchile,Myrmecophila,,,,,,
Nicholsonara,Ncl.,Brassia,Cyrtochilum,Miltonia,Oncidium,,,,,,
Nickcannazzaroara,Nkz.,Caularthron,Encyclia,Myrmecophila,,,,,,,
Nideclia,Ndc.,Encyclia,Nidema,,,,,,,,
Nidema,Nid.,Nidema,,,,,,,,,
Nobleara,Nlra.,Aerides,Renanthera,Vanda,,,,,,,
Nochocentrum,Nct.,Nohawilliamsia,Rhynchostele,Trichocentrum,,,,,,,
Nogomesa,Nog.,Gomesa,Nohawilliamsia,,,,,,,,
Nohacidiopsis,Ndp.,Miltoniopsis,Nohawilliamsia,Oncidium,,,,,,,
Nohacidium,Nhc.,Nohawilliamsia,Oncidium,,,,,,,,
Nohagomenkoa,Ngk.,Gomesa,Nohawilliamsia,Zelenkoa,,,,,,,
Nohalumnia,Nhl.,Nohawilliamsia,Tolumnia,,,,,,,,
Nohamiltocidium,Nmo.,Miltonia,Nohawilliamsia,Oncidium,,,,,,,
Nohamiltonia,Nmt.,Miltonia,Nohawilliamsia,,,,,,,,
Nohamiltoniopsis,Nhp.,Miltoniopsis,Nohawilliamsia,,,,,,,,
Nohastelomesa,Nsm.,Gomesa,Nohawilliamsia,Rhynchostele,,,,,,,
Nohawenkoa,Nwk.,Nohawilliamsia,Zelenkoa,,,,,,,,
Nohawilentrum,Ntr.,Nohawilliamsia,Trichocentrum,,,,,,,,
Nohawilliamsia,Nhw.,Nohawilliamsia,,,,,,,,,
Nohazelencidium,Nzc.,Nohawilliamsia,Oncidium,Zelenkoa,,,,,,,
Nonaara,Non.,Aerides,Ascoglossum,Renanthera,,,,,,,
Nornahamamotoara,Nhmta.,Aerides,Rhynchostylis,Vandopsis,,,,,,,
Norwoodara,Nwda.,Brassia,Miltonia,Oncidium,Rodriguezia,,,,,,
Notolidium,Ntd.,Nohawilliamsia,Oncidium,Tolumnia,,,,,,,
Notylettia,Ntlta.,Comparettia,Notylia,,,,,,,,
Notylia,Ntl.,Notylia,,,,,,,,,
Notylidium,Ntldm.,Notylia,Oncidium,,,,,,,,
Notylopsis,Ntlps.,Ionopsis,Notylia,,,,,,,,
Oakesara,Oks.,Gomesa,Leochilus,Macradenia,Rodriguezia,,,,,,
Obrienara,Obr.,Cattleya,Guarianthe,Laelia,Prosthechea,,,,,,
Oddyara,Oddy.,Cochleanthes,Kefersteinia,Pescatoria,,,,,,,
Oderara,Ode.,Arachnis,Paraphalaenopsis,Renanthera,Vanda,Vandopsis,,,,,
Odonchlopsis,Ocp.,Cochlioda,Miltoniopsis,Odontoglossum,,,,,,,
Odontioda,Oda.,Cochlioda,Odontoglossum,,,,,,,,
Odontiopsis,Otp.,Miltoniopsis,Odontoglossum,,,,,,,,
Odontobrassia,Odbrs.,Brassia,Odontoglossum,,,,,,,,
Odontocentrum,Otc.,Odontoglossum,Trichocentrum,,,,,,,,
Odontochilus,Odt.,Odontochilus,,,,,,,,,
Odontocidium,Odcdm.,Odontoglossum,Oncidium,,,,,,,,
Odontoglossum,Odm.,Odontoglossum,,,,,,,,,
Odontokoa,Otk.,Odontoglossum,Zelenkoa,,,,,,,,
Odontonia,Odtna.,Miltonia,Odontoglossum,,,,,,,,
Odontopilia,Odpla.,Odontoglossum,Trichopilia,,,,,,,,
Odontorettia,Odrta.,Comparettia,Odontoglossum,,,,,,,,
Odontostele,Ots.,Odontoglossum,Rhynchostele,,,,,,,,
Odontozelencidium,Otl.,Odontoglossum,Oncidium,Zelenkoa,,,,,,,
Odyncidium,Ody.,Odontoglossum,Oncidium,Rhynchostele,,,,,,,
Oeceoclades,Oecl.,Oeceoclades,,,,,,,,,
Oeonia,Oeo.,Oeonia,,,,,,,,,
Oeoniella,Oenla.,Oeoniella,,,,,,,,,
Oeorchis,Oec.,Cyrtorchis,Oeoniella,,,,,,,,
Oerstedkeria,Ork.,Barkeria,Oerstedella,,,,,,,,
Oerstelaelia,Osl.,Laelia,Oerstedella,,,,,,,,
Oertonia,Oer.,Broughtonia,Oerstedella,,,,,,,,
Oestlundia,Ost.,Oestlundia,,,,,,,,,
Oncandra,Ora.,Galeandra,Oncidium,,,,,,,,
Oncidenia,Oncna.,Macradenia,Oncidium,,,,,,,,
Oncidesa,Oncsa.,Gomesa,Oncidium,,,,,,,,
Oncidettia,Onctta.,Comparettia,Oncidium,,,,,,,,
Oncidiella,Onclla.,Oncidium,Rodrigueziella,,,,,,,,
Oncidioda,Oncda.,Cochlioda,Oncidium,,,,,,,,
Oncidium,Onc.,Oncidium,,,,,,,,,
Oncidodontopsis,Odd.,Miltoniopsis,Odontoglossum,Oncidium,,,,,,,
Oncidoglossum,Oig.,Oncidium,Rossioglossum,,,,,,,,
Oncidopsiella,Odp.,Oncidium,Psychopsiella,,,,,,,,
Oncidopsis,Oip.,Miltoniopsis,Oncidium,,,,,,,,
Oncidpilia,Oncpa.,Oncidium,Trichopilia,,,,,,,,
Oncidumnia,Ocd.,Oncidium,Tolumnia,,,,,,,,
Oncitonioides,Otd.,Miltonioides,Oncidium,,,,,,,,
Oncostele,Ons.,Oncidium,Rhynchostele,,,,,,,,
Oncostelopsis,Osp.,Miltoniopsis,Oncidium,Rhynchostele,,,,,,,
Onrodenkoa,Odk.,Oncidium,Rodriguezia,Zelenkoa,,,,,,,
Ontolezia,Otz.,Oncidium,Rodriguezia,Tolumnia,,,,,,,
Ontolglossum,Ogs.,Odontoglossum,Oncidium,Tolumnia,,,,,,,
Onzelcentrum,Olt.,Oncidium,Trichocentrum,Zelenkoa,,,,,,,
Onzelettia,Ozt.,Comparettia,Oncidium,Zelenkoa,,,,,,,
Onzeloda,Ozl.,Cochlioda,Oncidium,Zelenkoa,,,,,,,
Onzelumnia,Ozn.,Oncidium,Tolumnia,Zelenkoa,,,,,,,
Ophramptis,Opt.,Anacamptis,Ophrys,,,,,,,,
Ophrys,Oph.,Ophrys,,,,,,,,,
Orchidactylorhiza,Oy.,Dactylorhiza,Orchis,,,,,,,,
Orchigymnadenia,Ogy.,Gymnadenia,Orchis,,,,,,,,
Orchimantoglossum,Org.,Himantoglossum,Orchis,,,,,,,,
Orchinea,Ohn.,Neotinea,Orchis,,,,,,,,
Orchiophrys,Orcys.,Ophrys,Orchis,,,,,,,,
Orchiplatanthera,Opa.,Orchis,Platanthera,,,,,,,,
Orchis,Orchis,Orchis,,,,,,,,,
Orchiserapias,Orsps.,Orchis,Serapias,,,,,,,,
Oreorchis,Ore.,Oreorchis,,,,,,,,,
Ornithocephalus,Orcp.,Ornithocephalus,,,,,,,,,
Ornithocidium,Orncm.,Oncidium,Ornithophora,,,,,,,,
Ornithophora,Orpha.,Ornithophora,,,,,,,,,
Orpetara,Orp.,Brassavola,Cattleya,Encyclia,Laelia,Prosthechea,,,,,
Otaara,Otr.,Brassavola,Broughtonia,Cattleya,Laelia,,,,,,
Otobrastonia,Obn.,Brassia,Miltonia,Otoglossum,,,,,,,
Otocidium,Otcd.,Oncidium,Otoglossum,,,,,,,,
Otoglochilum,Oth.,Cyrtochilum,Otoglossum,,,,,,,,
Otoglossum,Oto.,Otoglossum,,,,,,,,,
Otohartia,Otht.,Lockhartia,Otoglossum,,,,,,,,
Otonisia,Otnsa.,Aganisia,Otostylis,,,,,,,,
Otopabstia,Ot.,Otostylis,Pabstia,,,,,,,,
Otorhynchocidium,Ohd.,Oncidium,Otoglossum,Rhynchostele,,,,,,,
Otosepalum,Otspm.,Otostylis,Zygosepalum,,,,,,,,
Otostele,Oot.,Otoglossum,Rhynchostele,,,,,,,,
Otostylis,Otst.,Otostylis,,,,,,,,,
Ottoara,Ota.,Cattleya,Guarianthe,Laelia,Schomburgkia,,,,,,
Oxysepala,Oys.,Oxysepala,,,,,,,,,
Pabanisia,Pbn.,Aganisia,Pabstia,,,,,,,,
Pabstara,Pabs.,Cattleya,Epidendrum,Guarianthe,Laelia,,,,,,
Pabstia,Pab.,Pabstia,,,,,,,,,
Pabstosepalum,Pss.,Pabstia,Zygosepalum,,,,,,,,
Palermoara,Pal.,Ada,Comparettia,Gomesa,,,,,,,
Palmerara,Plmra.,Batemannia,Otostylis,Zygosepalum,,,,,,,
Paludorchis,Pdo.,Paludorchis,,,,,,,,,
Paludorchiserapias,Pldp.,Paludorchis,Serapias,,,,,,,,
Pantapaara,Pntp.,Ascoglossum,Renanthera,Vanda,,,,,,,
Paphinia,Pna.,Paphinia,,,,,,,,,
Paphinopea,Phnp.,Paphinia,Stanhopea,,,,,,,,
Paphiopedilum,Paph.,Paphiopedilum,,,,,,,,,
Papilachnis,Pa.,Arachnis,Papilionanthe,,,,,,,,
Papilaenopsis,Peps.,Papilionanthe,Phalaenopsis,,,,,,,,
Papilaenostylis,Psts.,Papilionanthe,Phalaenopsis,Rhynchostylis,,,,,,,
Papilandachnis,Pap.,Arachnis,Papilionanthe,Vanda,,,,,,,
Papilanthera,Pl.,Papilionanthe,Renanthera,,,,,,,,
Papiliodes,Pd.,Aerides,Papilionanthe,,,,,,,,
Papilionanda,Pda.,Papilionanthe,Vanda,,,,,,,,
Papilionanthe,Ple.,Papilionanthe,,,,,,,,,
Papiliosarcanthopsis,Pio.,Papilionanthe,Sarcanthopsis,,,,,,,,
Papiliovanvanda,Plv.,Papilionanthe,Vanda,Vandopsis,,,,,,,
Papilisia,Papi.,Luisia,Papilionanthe,,,,,,,,
Papillilabium,Pbm.,Papillilabium,,,,,,,,,
Papillochilus,Pic.,Papillilabium,Sarcochilus,,,,,,,,
Papitonia,Ptn.,Cottonia,Papilionanthe,,,,,,,,
Papopsis,Pops.,Papilionanthe,Vandopsis,,,,,,,,
Papulipetalum,Plp.,Papulipetalum,,,,,,,,,
Paradisanisia,Pds.,Aganisia,Paradisanthus,,,,,,,,
Paradisanthus,Pdsnth.,Paradisanthus,,,,,,,,,
Paradistia,Pis.,Pabstia,Paradisanthus,,,,,,,,
Parafinetia,Prf.,Neofinetia,Paraphalaenopsis,,,,,,,,
Paralophia,Pph.,Paralophia,,,,,,,,,
